iter	Logloss
0	0.6566184135
1	0.6287335466
2	0.6060075704
3	0.5896587056
4	0.5786210404
5	0.5661784735
6	0.5534713669
7	0.5454316366
8	0.5337503995
9	0.5279177997
10	0.5216414992
11	0.5151775283
12	0.5099669112
13	0.5030600289
14	0.4987408756
15	0.4938365041
16	0.4896831278
17	0.4837959875
18	0.4800795221
19	0.4759933134
20	0.4698757995
21	0.4675061488
22	0.4643675044
23	0.4626406686
24	0.45935724
25	0.4560099152
26	0.4515445504
27	0.4487228742
28	0.4458257685
29	0.4427195263
30	0.4386578039
31	0.4369164236
32	0.4342740594
33	0.4327587997
34	0.4308400663
35	0.4292819102
36	0.4256705158
37	0.4242274516
38	0.4222981828
39	0.4202502748
40	0.4190718657
41	0.4162311223
42	0.4139706969
43	0.4124324992
44	0.4104906313
45	0.4080557615
46	0.405852057
47	0.4030210146
48	0.4006814789
49	0.3996571862
50	0.3965049367
51	0.3955956114
52	0.393548932
53	0.3914992041
54	0.3905137452
55	0.388569397
56	0.3877960158
57	0.3855502842
58	0.3843899836
59	0.3830322141
60	0.3809455424
61	0.3785572704
62	0.3755721059
63	0.3732057777
64	0.3717500838
65	0.3703653331
66	0.3690676022
67	0.3665712721
68	0.3653583173
69	0.3642542402
70	0.3616059843
71	0.3593058504
72	0.3577514071
73	0.3550271491
74	0.3539210448
75	0.3515222867
76	0.3500313734
77	0.3480993656
78	0.3476523378
79	0.3453688254
80	0.3440078336
81	0.3424218898
82	0.3409285346
83	0.3390220805
84	0.3378248735
85	0.3371441247
86	0.3353456815
87	0.3330658213
88	0.3305578654
89	0.3295577628
90	0.328160267
91	0.3278975019
92	0.3263631618
93	0.3260425668
94	0.324601441
95	0.3228758783
96	0.3210667818
97	0.3192499389
98	0.3177293813
99	0.3164139486
100	0.3148823301
101	0.313450534
102	0.3117989209
103	0.3098414212
104	0.3095300459
105	0.307650092
106	0.3061740193
107	0.3043895724
108	0.3023845703
109	0.3011802656
110	0.3000114495
111	0.2983586047
112	0.2981862228
113	0.2978452857
114	0.2964316828
115	0.2948905368
116	0.2936912261
