iter	Passed	Remaining
0	53	53081
1	53	26848
2	54	18079
3	55	13699
4	55	11063
5	56	9311
6	56	8072
7	57	7135
8	58	6416
9	58	5829
10	59	5352
11	60	4947
12	60	4607
13	61	4316
14	61	4065
15	62	3845
16	63	3650
17	63	3478
18	64	3323
19	64	3184
20	65	3060
21	66	2944
22	66	2839
23	67	2744
24	68	2656
25	68	2574
26	69	2499
27	69	2429
28	70	2363
29	71	2300
30	71	2244
31	72	2189
32	73	2139
33	73	2091
34	74	2047
35	74	2006
36	75	1966
37	76	1927
38	76	1891
39	77	1859
40	78	1831
41	78	1799
42	79	1769
43	80	1740
44	80	1713
45	81	1687
46	81	1662
47	82	1638
48	83	1615
49	83	1592
50	84	1573
51	85	1555
52	86	1539
53	87	1526
54	87	1509
55	88	1490
56	88	1472
57	89	1455
58	90	1440
59	90	1424
60	91	1409
61	92	1394
62	92	1381
63	93	1368
64	94	1354
65	94	1340
66	95	1328
67	96	1316
68	96	1303
69	97	1291
70	97	1280
71	98	1268
72	99	1258
73	99	1247
74	100	1236
75	100	1226
76	101	1216
77	102	1206
78	102	1196
79	103	1187
80	103	1178
81	104	1169
82	105	1160
83	105	1151
84	106	1144
85	106	1137
86	107	1129
87	108	1122
88	108	1114
89	109	1106
90	110	1100
91	110	1093
92	111	1085
93	112	1079
94	112	1072
95	113	1067
96	114	1063
97	114	1057
98	115	1050
99	116	1044
100	116	1038
101	117	1032
102	117	1026
103	118	1021
104	119	1015
105	119	1009
106	120	1004
107	120	998
108	121	993
109	122	988
110	122	984
111	123	980
112	124	976
113	125	972
114	125	967
115	126	961
116	126	957
117	127	952
118	128	948
119	128	944
120	129	940
121	130	936
122	130	932
123	131	928
124	131	923
125	132	919
126	133	915
127	133	911
128	134	909
129	136	911
130	136	907
131	137	903
132	137	899
133	138	895
134	139	891
135	139	887
136	140	883
137	141	881
138	141	877
139	142	873
140	142	870
141	143	866
142	144	863
143	144	860
144	145	856
145	145	853
146	146	850
147	147	847
148	147	843
149	148	840
150	149	837
151	149	834
152	150	831
153	150	828
154	151	825
155	152	822
156	152	819
157	153	817
158	154	814
159	154	812
160	155	809
161	155	806
162	156	803
163	157	800
164	157	798
165	158	795
166	158	792
167	159	789
168	160	787
169	160	784
170	161	781
171	161	779
172	162	776
173	163	774
174	163	771
175	164	769
176	164	766
177	165	763
178	166	761
179	166	759
180	167	756
181	167	754
182	168	751
183	169	749
184	169	747
185	170	745
186	170	743
187	171	740
188	172	738
189	172	736
190	173	733
191	173	731
192	174	729
193	174	726
194	175	724
195	176	722
196	176	720
197	177	718
198	178	716
199	178	714
200	179	712
201	179	710
202	180	708
203	181	706
204	181	704
205	182	702
206	182	700
207	183	698
208	184	696
209	184	694
210	185	692
211	185	690
212	186	688
213	186	686
214	187	684
215	188	682
216	188	680
217	189	678
218	189	677
219	190	676
220	191	674
221	192	672
222	192	671
223	193	669
224	193	667
225	194	665
226	194	664
227	195	662
228	196	660
229	196	658
230	197	657
231	197	655
232	198	653
233	199	651
234	199	650
235	200	648
236	201	647
237	201	645
238	202	643
239	202	642
240	203	640
241	204	639
242	204	638
243	205	637
244	206	635
245	206	633
246	207	632
247	207	630
248	208	628
249	209	627
250	209	625
251	210	624
252	210	622
253	211	620
254	212	619
255	212	618
256	213	616
257	213	615
258	214	614
259	215	613
260	216	611
261	216	610
262	217	608
263	217	607
264	218	605
265	219	604
266	219	602
267	220	601
268	220	599
269	221	598
270	221	597
271	222	595
272	223	594
273	224	593
274	224	593
275	225	591
276	227	593
277	227	591
278	228	590
279	229	589
280	229	587
281	230	586
282	230	585
283	231	583
284	232	582
285	232	581
286	233	579
287	233	578
288	234	577
289	235	575
290	235	574
291	236	573
292	237	571
293	237	570
294	238	569
295	238	568
296	239	566
297	240	565
298	240	564
299	241	562
300	241	561
301	242	560
302	242	558
303	243	557
304	244	556
305	244	555
306	245	553
307	246	552
308	246	551
309	247	550
310	247	548
311	248	547
312	248	546
313	249	545
314	250	543
315	250	542
316	251	541
317	251	540
318	252	538
319	253	537
320	253	536
321	254	535
322	254	534
323	255	532
324	255	531
325	256	530
326	257	529
327	257	528
328	258	526
329	259	525
330	259	524
331	260	523
332	260	522
333	261	521
334	262	520
335	262	519
336	263	517
337	263	516
338	264	515
339	264	514
340	265	513
341	266	512
342	266	510
343	267	509
344	267	508
345	268	507
346	269	506
347	269	505
348	270	504
349	271	503
350	271	502
351	272	501
352	272	500
353	273	498
354	274	497
355	274	496
356	275	496
357	275	494
358	276	493
359	277	492
360	277	491
361	278	490
362	278	489
363	279	488
364	280	487
365	280	486
366	281	485
367	281	483
368	282	482
369	282	481
370	283	480
371	284	479
372	284	478
373	285	477
374	285	476
375	286	475
376	286	474
377	287	473
378	288	472
379	288	471
380	289	470
381	290	469
382	290	468
383	291	467
384	291	466
385	292	465
386	293	464
387	293	463
388	294	462
389	294	461
390	295	460
391	296	459
392	297	458
393	297	457
394	298	456
395	298	455
396	299	454
397	299	453
398	300	452
399	301	451
400	301	450
401	302	449
402	302	448
403	303	447
404	304	446
405	304	445
406	305	444
407	306	444
408	306	443
409	307	442
410	307	441
411	308	440
412	309	439
413	309	438
414	310	437
415	310	436
416	311	435
417	312	434
418	312	433
419	313	432
420	313	431
421	314	430
422	315	429
423	315	429
424	316	428
425	316	427
426	317	426
427	318	425
428	318	424
429	319	423
430	320	422
431	320	421
432	321	420
433	321	419
434	322	418
435	322	417
436	323	416
437	324	415
438	324	414
439	325	413
440	325	413
441	326	412
442	327	411
443	327	410
444	328	409
445	328	408
446	329	407
447	329	406
448	330	405
449	331	404
450	332	404
451	333	404
452	333	403
453	334	402
454	335	401
455	335	400
456	336	399
457	337	398
458	337	398
459	338	397
460	338	396
461	339	395
462	340	394
463	340	393
464	341	392
465	341	391
466	342	390
467	343	390
468	343	389
469	344	388
470	345	387
471	345	386
472	346	386
473	347	385
474	347	384
475	348	383
476	349	382
477	349	381
478	350	381
479	351	380
480	351	379
481	352	378
482	353	377
483	353	377
484	354	376
485	355	375
486	355	374
487	356	373
488	356	373
489	357	372
490	358	371
491	359	370
492	359	369
493	360	369
494	361	368
495	361	367
496	362	366
497	362	365
498	363	365
499	364	364
500	365	363
501	365	362
502	366	362
503	367	361
504	367	360
505	368	359
506	369	358
507	369	358
508	370	357
509	371	356
510	371	355
511	372	354
512	373	354
513	373	353
514	374	352
515	375	351
516	375	351
517	376	350
518	377	349
519	377	348
520	378	347
521	379	347
522	379	346
523	380	345
524	380	344
525	381	343
526	382	342
527	382	342
528	383	341
529	383	340
530	384	339
531	385	338
532	385	337
533	386	337
534	387	336
535	387	335
536	388	334
537	389	334
538	389	333
539	390	332
540	390	331
541	391	330
542	392	329
543	392	329
544	393	328
545	393	327
546	394	326
547	395	325
548	395	325
549	396	324
550	397	323
551	397	322
552	398	322
553	399	321
554	399	320
555	400	319
556	401	318
557	401	318
558	402	317
559	402	316
560	403	315
561	404	314
562	404	314
563	405	313
564	405	312
565	406	311
566	407	310
567	407	310
568	408	309
569	408	308
570	409	307
571	410	306
572	410	306
573	411	305
574	412	304
575	412	303
576	413	302
577	413	302
578	414	301
579	415	300
580	415	299
581	416	299
582	416	298
583	417	297
584	418	296
585	418	295
586	419	294
587	419	294
588	420	293
589	421	292
590	421	291
591	422	291
592	423	290
593	423	289
594	424	288
595	424	287
596	425	287
597	426	286
598	426	285
599	427	284
600	427	284
601	428	283
602	429	282
603	429	281
604	430	280
605	430	280
606	431	279
607	432	278
608	432	277
609	433	276
610	433	276
611	434	275
612	434	274
613	435	273
614	436	273
615	436	272
616	437	271
617	437	270
618	438	269
619	439	269
620	439	268
621	440	267
622	440	266
623	441	266
624	442	265
625	442	264
626	443	263
627	444	263
628	444	262
629	445	261
630	445	260
631	446	259
632	447	259
633	447	258
634	448	257
635	448	256
636	449	256
637	449	255
638	450	254
639	451	253
640	451	253
641	452	252
642	452	251
643	453	250
644	454	249
645	454	249
646	455	248
647	456	247
648	456	246
649	457	246
650	457	245
651	458	244
652	459	243
653	459	243
654	460	242
655	461	241
656	461	241
657	462	240
